Para N = 100 : R = (1 + 4 * 100)/ 0.000001118 = 358675623.904358 
Para N = 80100 : R = (1 + 4 * 80100)/ 0.000744998 = 430069610.751799 
Para N = 160100 : R = (1 + 4 * 160100)/ 0.001041413 = 614934708.265041 
Para N = 240100 : R = (1 + 4 * 240100)/ 0.001364378 = 703911232.661523 
Para N = 320100 : R = (1 + 4 * 320100)/ 0.001841941 = 695136814.631904 
Para N = 400100 : R = (1 + 4 * 400100)/ 0.002333537 = 685826279.310873 
Para N = 480100 : R = (1 + 4 * 480100)/ 0.003365896 = 570546742.651100 
Para N = 560100 : R = (1 + 4 * 560100)/ 0.003131822 = 715366646.230771 
Para N = 640100 : R = (1 + 4 * 640100)/ 0.004124852 = 620725543.724414 
Para N = 720100 : R = (1 + 4 * 720100)/ 0.007668732 = 375603294.012852 
Para N = 800100 : R = (1 + 4 * 800100)/ 0.004895342 = 653764537.670679 
Para N = 880100 : R = (1 + 4 * 880100)/ 0.007036983 = 500271351.887271 
Para N = 960100 : R = (1 + 4 * 960100)/ 0.005344045 = 718631860.427992 
Para N = 1040100 : R = (1 + 4 * 1040100)/ 0.005336186 = 779658167.701338 
Para N = 1120100 : R = (1 + 4 * 1120100)/ 0.006487721 = 690597052.616089 
Para N = 1200100 : R = (1 + 4 * 1200100)/ 0.007372145 = 651153904.096106 
